client_id	path	sentence	up_votes	down_votes	age	gender	accent
0697ece1f99a08477906d0f3b4e74e1d6ffca76c20a7db9cf577874030a7162cdf6d947fa203eb85deb4b7aa8c83a1daa182629d80675db8167e648fa176cbd4	common_voice_zh-CN_18646658.mp3	局部干涩的例子包括有口干、眼睛干燥、及阴道干燥。	2	1			
077c6d812d0152245b7577ae430775781d98306ed0d264c8f7636f780582d71c1a5f3b66ea3cf95ca002dfdd81842c62d684ab2b97fd72e4e1bfae8b3d465d84	common_voice_zh-CN_18776118.mp3	嘉靖三十八年，登进士第三甲第二名。	2	1			
0bdcd4f3d4450cd23bd4c47f46d645b0e797b083e3f1582589bbc8a958a9dd48b87194e7c662da01f52f6db68a6e87d678bf0e36b969cc2d72d68ab481df1a16	common_voice_zh-CN_18840501.mp3	为了惩罚西扎城和塞尔柱的结盟，盟军在抵达后将外城烧毁。	2	0			
0c7a451bd8b172f534352dbcbcb95c405f958f72345a7990a29568151ef0654ebfb23f825e4c863cc6bb97c9e211cb5a26ddca4f189ae853649ffeb3369db1a0	common_voice_zh-CN_19871025.mp3	河内盛产黄色无鱼鳞的鳍射鱼。	2	0			
130a57d8f16031a9d4d0e28883bc377a08000babe9872e23203c2964afe9d1f773336720c07910c3db35c36f5f584365f55e86848d82c97cb580decbf32c205c	common_voice_zh-CN_19599902.mp3	下行月台设有厕所。	2	0	twenties	male	810000
198e54526f97abfa48c62184e75556b4a0d5922d82fbadbec07b26a2570775207f0b5cc9b09de9aeb1398c763bc464bf658507d045f9012d2a7277c4d2de4665	common_voice_zh-CN_18990129.mp3	该区舰队主要负责为公海舰队的战列分舰队提供屏护。	2	0			
2b42f64b765279a43c67b3416fa5e48095bcd8b085d58dee284981941f4f8e845ff01d3565ed3ba4a937351bf48810d0a987afe80d4d989fcd54f076d41a6d59	common_voice_zh-CN_18978887.mp3	长期信用银行法。	2	0			
2d3a0ac730dbae59670e08e4208b09ffe27c5eadd45f68f8058ddcda32cb032bad7f561a6fdc2cd748e46c0180d365dfcf6f4aea1a70276b29dedabaacb3ca31	common_voice_zh-CN_18983026.mp3	戴七宝冠作通身光。	2	0			
344489e9898b3cd9c5d29005768c95d2258e280dd9cff64a0842f19b7c93441a38d82bffa9a939dd88e9b38c6a86254fda09157f41e5e07191e8d059fd94d825	common_voice_zh-CN_18987308.mp3	厚实的墙壁让旧机内部冬暖夏凉。	2	0	nineties	other	370000
3b7575fdad7077cfd29a23938fc0bd6c284245b38f92f9de0613ecb146a7c5d8e41c7eb553c157ca29e370bda062cfe3f614a60b38412494201a4024347b5a66	common_voice_zh-CN_18832787.mp3	滨江县先后隶属于吉林省西北路道和滨江道。	2	1			
3b88a2658417e6dd1d65742b5acc9ae9c5e0c69050308c2eb9bd221d418c73791d9530af42ab2647a800d048acf5afa59e220af5e627c8388db634353c91fea9	common_voice_zh-CN_19005778.mp3	顾客多数讲日语和普通话。	2	0	teens	male	
3c288ef58ce0780634a972e1b92b04c444bfa963dfcb2d837045b606156490837de47a6cc2d5ee7555eaf3c01360613c583aff0eb713f390a445ef90b8f4b65c	common_voice_zh-CN_18774708.mp3	大使馆全年都为各类政治人物和公众举办了许多活动，包括庆祝以色列独立日独立日。	2	0	twenties	male	440000
3d28475fd46db162ffa6a79edea556c143a9b0e53f6415ede77f07e06da5c63a3714f11477c9395920778a8e0571c7a75586f8b85a9662bcdacaefaece110675	common_voice_zh-CN_18903199.mp3	感冒茶起源于中国岭南一带。	2	0			
403e90bd4b2f7fba097f6cdefacbd3dc7df38f7fedf5287dd3d53c947eec9556bf22a9748f9904fb9bc1d1c7bc44e0566c50b8eae200fa117e42a9d5f4399666	common_voice_zh-CN_18978243.mp3	电子浩室是浩室音乐的一个类型。	2	1			
48044757ea3c4751d810fa7aff8c7e0dec309b91f3622e1dce2a8e66a0b02d3432234e52b593eb37c7f194ca6c20c4e406a7a293dce0d9e8796bc7862cdf324a	common_voice_zh-CN_18984455.mp3	各级地方政府已经大幅减少健康步道的铺设。	2	0			
48292f36099f3b7b3543e24b1f62aa69d71e76ad1bb1dded31fa4789c97eaa78520ceb4e28c27d703cafad3a813e4a472bdb3c035bf136e0b9efb1467ce68b0c	common_voice_zh-CN_18653869.mp3	福茨斯普林斯是位于美国加利福尼亚州科卢萨县的一个非建制地区。	2	1			
48bf3483a222100483ba249a1fc42a116bd2c530070afcd904b6e934010b2f8273696b592370673c511605ce4ff61fb24a7092543907bab9c06d61670e77a5c6	common_voice_zh-CN_18733748.mp3	当她去世时，讣告也称她为「永不沉没的布朗夫人」。	2	1			
4f1b77f2d3f6dd0deaa3355f0c6105cc36d80feee1dd0e6ce05adfb942349e97dc8287903d4d78735363c7669fc9caa89effb659b0f3b3d0a4bf42ebb838b1af	common_voice_zh-CN_18817154.mp3	有论者批评词中出现现代通俗口语「劲歌」，与整首歌的古典风格格格不入。	2	1			
57763d3cf9178950a1cf76212d3fd3f4bf8359787715e67d4a685eb3c40ebca216afb378b608ede530d28deee8bab62331b5d033298e95f7e07e47260bede612	common_voice_zh-CN_18524189.mp3	正巧母亲往外探头	2	0			
57fdced02d83da80a93f5e017751cacec1966d9e26c14906ae24367be9cc5cc38ebf6204396b7ed1ee93046260e4d8aada2f0d584f39849206f91073d92927a1	common_voice_zh-CN_18997990.mp3	沙滩巧固球运动目前是台湾巧固球协会推展的主要方向之一	2	1			
599cb6ea7b86242ed4054267be0322b3d6f5f7c43d20704253a67e491176fbb7dd839f1a59c630394734f13181e7367a6fd48624b0a6ab665987c01faa759344	common_voice_zh-CN_18944937.mp3	胶北街道是中国山东省青岛市胶州市下辖的一个街道。	2	0			
5ec0a85c0436ec518f606ca077dc061f7823d99edf6e6b7515ceba0887c5947fd2748e544f1cedb3463249a1f46c9c5f5298553b28f8823edf41dce43e3cc02d	common_voice_zh-CN_18978133.mp3	在他们的登陆地附近发展起来的那座镇子现在也被叫作了马德林港。	2	1	twenties	male	120000
63758678436ec1b22aa1a2fc400ae839ac9646a5f945c6a9f67e5c4a4ebd058a9a9bde13e592dfae8569a75588a8855e1e88869674231c9d23519e46b5809b6b	common_voice_zh-CN_18994723.mp3	他的教父母为瑞典国王弗雷德里克一世。	2	0			
65fccaa16c55fe4f6cac48a0c724d9bc765a39ab43df388df5c69bf456b299b1185c4be9eda0334f596929fd5bb9763d6d5ceb736e3dc458d39f299d00ebe575	common_voice_zh-CN_18592547.mp3	没有再回来	2	0			
68fb64c5510818dab51958776a721ceda0496d43136badd6712b875c5f4f12d61808a5d9d5eca675ee71e0027e5ba2b637567f65b669496383644f9d9667400b	common_voice_zh-CN_18987745.mp3	国君为归姓。	2	0			
6d29a0509d7aa7a27a02a8be3aaa5f72a492c44bf1280d527e8ce4ba2c42f1b351aa0fdc3bdd104fb0752ae0a3c980e092d8d845600a2aece1a7f081d9591886	common_voice_zh-CN_19093928.mp3	昂布朗的圣昂德雷人口变化图示	2	0			
7054567b142ee586f135c885eb0cf624f47f5ea7f61d7ae1e1f5aa77b5e092e1c12ad1f196b5ac850d567d643101b8da87357e0e31c1e08ae5f1f87f06a7ca5f	common_voice_zh-CN_18978611.mp3	他妻子是北京大学分子医学研究所所长肖瑞平教授。	2	1			
726e1dff08136c47b72a4f3c061ad1899019a553e2f02108176804b1121bebce17cdb51c2c16f1f467e81a7450742e5947d3cf6fcc7379dde317a07d3dadf30c	common_voice_zh-CN_18811752.mp3	这座大厦以苏丹马末·依斯干达命名，是的一部分。	2	1			
7f915a85f703787224d422bc38fe394188ade02373299bbf5958aa18ef1ed08fa233e2cfb0ed8d321d7cb13b18288f0a4f6019c77fc1e6dab537e636cb42d030	common_voice_zh-CN_18934584.mp3	他对镇上的新事物感到兴奋。	2	0			
82275901f73be1068be252d7f180e7bc8254237931c196aba63527895bfbd5ee83ee039eaa594d7582b2afc50c17c8aed7b2dc0728252aeb42f1c1e696e3ce2d	common_voice_zh-CN_20104500.mp3	生于奉化市。	2	0			
